Title,Artist,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Popularity
She Will Be Loved,Maroon 5,2002,102,71,71,-6,74
Dirty Diana,Michael Jackson,2003,131,80,75,-5,55
Fireflies,Owl City,2009,180,66,51,-7,79
Will You Be There - Single Version,Michael Jackson,2005,83,63,41,-7,53
Black or White - Single Version,Michael Jackson,2005,115,89,74,-4,64
The A Team,Ed Sheeran,2011,85,29,64,-10,76
Give Me Love,Ed Sheeran,2011,116,33,53,-10,73
I Won' T Let You Down,Road Band,2011,106,35,64,-14,33
Lego House,Ed Sheeran,2011,160,64,59,-8,71
I See Fire,Ed Sheeran,2013,76,5,63,-21,64
Thinking out Loud,Ed Sheeran,2014,79,45,78,-6,84
Photograph,Ed Sheeran,2014,108,38,61,-10,84
Wit Licht,Jeroen van Koningsbrugge,2014,146,69,59,-7,43
Stay With Me,Sam Smith,2014,84,42,42,-6,84
Love Never Felt So Good,Michael Jackson,2014,118,72,78,-6,70
Pokémon Theme-New Studio Recording,Jason Paige,2017,145,91,57,-5,41
Perfect,Ed Sheeran,2017,95,45,60,-6,87
Thriller,Michael Jackson,2017,118,89,76,-4,69
Shape of You,Ed Sheeran,2017,96,65,83,-3,87
Castle on the Hill,Ed Sheeran,2017,135,83,46,-5,79
Happier,Ed Sheeran,2017,90,39,52,-7,83
Galway Girl,Ed Sheeran,2017,100,88,62,-3,80
Supermarket Flowers,Ed Sheeran,2017,90,24,59,-11,78
Someone You Loved,Lewis Capaldi,2018,110,41,50,-6,85
Memories,Maroon 5,2019,91,32,76,-7,98
Ben - Single Version,Michael Jackson,1972,136,16,44,-11,53
Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,1979,119,82,88,-10,74
Off the Wall,Michael Jackson,1979,119,60,83,-14,62
Rock with You - Single Version,Michael Jackson,1979,114,54,81,-13,73
We Belong to the Night,Ellen Foley,1979,101,75,36,-9,40
Billie Jean,Michael Jackson,1982,117,65,92,-3,81
Human Nature,Michael Jackson,1982,93,51,62,-10,65
P.Y.T. (Pretty Young Thing),Michael Jackson,1982,127,82,89,-5,71
Wanna Be Startin' Somethin',Michael Jackson,1982,122,92,85,-4,64
Smooth Criminal - 2012 Remaster,Michael Jackson,1987,118,98,85,-4,76
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,1987,114,85,88,-5,72
Bad - 2012 Remaster,Michael Jackson,1987,114,89,79,-4,68
Liberian Girl - 2012 Remastered Version,Michael Jackson,1987,105,55,75,-7,59
You,Ten Sharp,1991,174,90,41,-8,61
Heal the World,Michael Jackson,1991,81,49,53,-8,68
Earth Song,Michael Jackson,1995,138,44,50,-8,63
Man in the Mirror,Michael Jackson,1995,100,80,79,-6,64
Beat It,Michael Jackson,1995,139,80,76,-6,60
They Don't Care About Us,Michael Jackson,1995,90,91,86,-6,69
Stranger in Moscow,Michael Jackson,1995,130,47,80,-9,58
Toen Ik Je Zag - Single Version,Hero,1998,81,20,37,-14,47
MacArthur Park,Richard Harris,1968,170,34,25,-16,36
